שם רשות מקומית,שנה,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",אחוז השכירים המשתכרים עד שכר מינימום,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
דייר אל-אסד,2017,"6,899.10",46.7,37.4,0.4
דייר אל-אסד,2016,"6,392.70",48.9,37.1,0.4
דייר אל-אסד,2015,"6,171.20",47.7,39.6,0.4
דייר חנא,2019,"6,896.20",52.4,38.8,0.4
דייר חנא,2018,"6,763.00",51.9,46.6,0.4
דייר חנא,2017,"6,457.90",51.5,44,0.4
דייר חנא,2016,"6,157.60",51.6,46.4,0.4
דייר חנא,2015,"5,922.70",51.8,47.7,0.4
דימונה,2019,"9,563.10",37.7,46.5,0.4
דימונה,2018,"9,478.50",38.1,48.6,0.4
דימונה,2017,"9,212.30",38.3,48.3,0.4
דימונה,2016,"8,616",41,51.5,0.4
דימונה,2015,"8,252",39.3,47.4,0.4
הוד השרון,2019,"13,867.60",31.2,33.7,0.5
הוד השרון,2018,"14,612.00",29.5,37.5,0.5
הוד השרון,2017,"14,004.90",28.2,33.1,0.5
הוד השרון,2016,"13,300",29,33.1,0.5
הוד השרון,2015,"13,179",27.9,34.3,0.5
הר אדר,2019,"13,956.90",33.4,38.7,0.5
הר אדר,2018,"15,283.70",28.9,34.9,0.5
הר אדר,2017,"15,096.70",28.2,29.7,0.5
הר אדר,2016,"14,639.60",28.5,29.1,0.5
הר אדר,2015,"14,887.80",25.9,26.8,0.5
הרצלייה,2019,"12,760.00",32.9,36.9,0.5
הרצלייה,2018,"12,612.20",33.3,41.4,0.5
הרצלייה,2017,"12,333.60",31.7,34.9,0.5
הרצלייה,2016,"11,673",32.5,36.1,0.5
הרצלייה,2015,"11,532",31.4,36.3,0.5
זכרון יעקב,2019,"13,301.40",36.6,40.2,0.5
זכרון יעקב,2018,"14,023.50",35.2,42.7,0.5
זכרון יעקב,2017,"13,898.90",33.8,40.6,0.5
זכרון יעקב,2016,"13,293.00",32.4,39.2,0.5
זכרון יעקב,2015,"13,491.80",31,40.5,0.5
זמר,2019,"7,134.00",47.4,45.2,0.4
זמר,2018,"7,100.90",47.9,48.1,0.4
זמר,2017,"6,818.30",46.1,47.2,0.4
זמר,2016,"6,505.50",47.6,44.7,0.4
זמר,2015,"6,442.90",44.9,51.8,0.4
זרזיר,2019,"6,513.00",48.7,40.1,0.3
זרזיר,2018,"6,527.10",47.5,42.1,0.4
זרזיר,2017,"6,153.70",48.6,38.6,0.4
זרזיר,2016,"5,555.50",51,37.8,0.3
זרזיר,2015,"5,742.40",47.2,45.1,0.3
חדרה,2019,"9,439.30",37.1,41.8,0.4
חדרה,2018,"9,214.40",37.4,44.4,0.4
חדרה,2017,"8,986.60",36.1,41.9,0.4
חדרה,2016,"8,454",37.8,42.1,0.4
חדרה,2015,"8,297",36.7,44,0.4
חולון,2019,"10,046.30",34.3,37.3,0.4
חולון,2018,"9,631.70",35,41.5,0.4
חולון,2017,"9,425.20",33.6,35.1,0.4
חולון,2016,"8,953",34.8,36.1,0.4
חולון,2015,"8,806",33.2,36.7,0.4
חורה,2019,"6,088.80",52.6,39.9,0.3
חורה,2018,"6,421.80",50.6,50.7,0.4
חורה,2017,"6,112.10",50.1,48.4,0.4
חורה,2016,"5,718.90",51.9,54.1,0.3
חורה,2015,"5,692.70",48.3,53.8,0.3
חורפיש,2019,"8,486.60",45.8,54.3,0.4
חורפיש,2018,"8,508.80",45.2,64.2,0.4
חורפיש,2017,"8,112.10",44.7,60,0.4
חורפיש,2016,"7,179.20",48,61.6,0.4
חורפיש,2015,"7,727.30",43,66.1,0.4
חיפה,2019,"10,798.20",37.7,42.2,0.5
חיפה,2018,"10,212.10",39.3,45.8,0.5
חיפה,2017,"10,136.10",37.9,40.2,0.5
חיפה,2016,"9,651",38.8,41.9,0.5
חיפה,2015,"9,603",37.4,42.1,0.5
חצור הגלילית,2019,"7,823.20",42.8,41.5,0.4
חצור הגלילית,2018,"7,487.80",43.8,46.4,0.4
חצור הגלילית,2017,"7,340.70",42.8,46.7,0.4
חצור הגלילית,2016,"6,724.40",45.4,47.1,0.4
חצור הגלילית,2015,"6,771.90",43.3,49.2,0.4
חריש,2019,"9,224.80",36.6,47.3,0.4
חריש,2018,"8,781.10",37,45.6,0.4
חריש,2017,"8,703.00",36.8,42.1,0.4
חריש,2016,"8,786.00",36.6,43.8,0.4
חריש,2015,"8,872.40",36.2,45.3,0.4
טבריה,2019,"7,508.20",44.6,46.1,0.4
טבריה,2018,"6,912.10",47.7,52,0.4
טבריה,2017,"6,688.10",47.1,47,0.4
טבריה,2016,"6,197",49.5,46.3,0.4
טבריה,2015,"6,227",47,52.5,0.4
טובא-זנגרייה,2019,"6,124.80",52.6,43.7,0.3
טובא-זנגרייה,2018,"6,336.80",48.6,43.6,0.3
טובא-זנגרייה,2017,"5,939.40",49.5,43.5,0.3
טובא-זנגרייה,2016,"5,587.90",50.4,44.7,0.3
טובא-זנגרייה,2015,"5,180.70",52.2,43.8,0.3
טורעאן,2019,"6,393.00",52.9,31.3,0.4
טורעאן,2018,"6,382.00",53.1,30.7,0.4
טורעאן,2017,"6,087.50",52.5,25.4,0.4
טורעאן,2016,"5,740.30",54.6,27.4,0.4
טורעאן,2015,"5,581.40",52.8,29.7,0.4
טייבה,2019,"6,533.40",51.9,42.9,0.4
טייבה,2018,"6,438.20",52.7,45.2,0.4
טייבה,2017,"6,219.90",51.8,46.5,0.4
טייבה,2016,"5,848",52.6,48.1,0.4
טייבה,2015,"5,833",50.1,52.2,0.4
טירה,2019,"6,984.10",48.8,38.3,0.4
טירה,2018,"6,988.00",48.6,42,0.4
טירה,2017,"6,763.10",47.1,41.3,0.4
טירה,2016,"6,348",48.5,42.7,0.4
טירה,2015,"6,221",46.4,44.8,0.4
טירת כרמל,2019,"9,024.80",36.7,43.7,0.4
טירת כרמל,2018,"8,694.20",38,44.6,0.4
טירת כרמל,2017,"8,295.80",37.3,41.6,0.4
טירת כרמל,2016,"7,606",40.1,42.7,0.4
טירת כרמל,2015,"7,357",39.3,46.5,0.4
טמרה,2019,"6,122.50",54.5,35.3,0.4
טמרה,2018,"6,089.90",54.5,37,0.4
טמרה,2017,"5,887.60",53.4,34.8,0.4
טמרה,2016,"5,468",55.4,37,0.4
טמרה,2015,"5,316",54.4,43.7,0.4
יאנוח-ג'ת,2019,"7,991.70",45.2,49,0.4
יאנוח-ג'ת,2018,"7,942.10",44.1,52.5,0.4
יאנוח-ג'ת,2017,"7,604.60",44.2,53.3,0.4
יאנוח-ג'ת,2016,"6,915.50",46.1,60.2,0.4
יאנוח-ג'ת,2015,"7,203.40",42.5,60.3,0.4
יבנאל,2019,"7,167.90",51.8,50.5,0.4
יבנאל,2018,"7,109.00",51.8,61.5,0.5
יבנאל,2017,"6,530.60",53,51.1,0.5
יבנאל,2016,"6,080.40",56,45.1,0.5
יבנאל,2015,"6,131.50",54.7,54.2,0.5
יבנה,2019,"10,496.50",32.9,33.8,0.4
יבנה,2018,"10,515.50",32.4,38,0.4
יבנה,2017,"10,119.50",31.7,33.2,0.4
יבנה,2016,"9,523",33.7,34.5,0.4
יבנה,2015,"9,619",32.3,34.9,0.4
יהוד,2019,"11,837.50",31.8,36.3,0.4
יהוד,2018,"11,702.50",31.5,37.7,0.5
יהוד,2017,"11,540.20",30,31.6,0.5
יהוד,2016,"11,061",31.1,34.5,0.4
יהוד,2015,"11,030",30,35,0.5
יסוד המעלה,2019,"10,914.50",38.3,35.2,0.5
יסוד המעלה,2018,"10,870.50",41.7,37.3,0.5
יסוד המעלה,2017,"10,495.90",32.1,30.3,0.5
יסוד המעלה,2016,"9,620",34.6,35,0.5
יסוד המעלה,2015,"9,684",30.5,32.6,0.5
יפיע,2019,"6,442.30",53.4,32.5,0.4
יפיע,2018,"6,351.50",52.8,37.8,0.4
יפיע,2017,"6,125.00",51.5,40.1,0.4
יפיע,2016,"5,826.90",52.3,39.4,0.4
יפיע,2015,"5,671.00",50.4,39,0.4
יקנעם עילית,2019,"11,690.80",32,36.1,0.4
יקנעם עילית,2018,"11,751.50",30.5,36.2,0.4
יקנעם עילית,2017,"11,484.80",28.8,35.4,0.4
יקנעם עילית,2016,"10,927",30.3,37.1,0.4
יקנעם עילית,2015,"10,779",29.3,38.8,0.4
ירוחם,2019,"8,686.90",38.5,43.7,0.4
ירוחם,2018,"8,572.50",39.6,46.3,0.4
ירוחם,2017,"8,341.60",37.9,47.9,0.4
ירוחם,2016,"7,694.60",40.9,46.7,0.4
ירוחם,2015,"7,716.70",38.2,52.1,0.4
ירושלים,2019,"7,990.50",46.2,46.1,0.4
ירושלים,2018,"7,635.70",47.4,51.4,0.4
ירושלים,2017,"7,529.40",46,49.9,0.4
ירושלים,2016,"7,179",46.9,51,0.4
ירושלים,2015,"7,119",45,53.4,0.4
ירכא,2019,"7,084.70",51.7,44.1,0.4
ירכא,2018,"7,154.50",50.2,47.6,0.4
ירכא,2017,"6,977.40",48.1,45.2,0.4
ירכא,2016,"6,362.90",50.6,49.1,0.4
ירכא,2015,"6,482.80",48,54.3,0.4
כאבול,2019,"6,669.40",52.2,41.8,0.4
כאבול,2018,"6,601.50",52.7,44.6,0.4
כאבול,2017,"6,421.20",52,45.3,0.4
כאבול,2016,"5,952.00",53.8,46.4,0.4
כאבול,2015,"5,820.10",52.4,47.5,0.4
כאוכב אבו אל-היג'א,2019,"7,426.10",48.9,40,0.4
כאוכב אבו אל-היג'א,2018,"7,315.60",47.7,35,0.4
כאוכב אבו אל-היג'א,2017,"7,114.10",46.2,41.7,0.4
